section,subsection,label,value,units,notes,
"# -- client_insurance_estate.csv: Insurance, estate, annuity death benefits, education funding, and equity compensation.",,,,,,
Annuity Death Benefits,2026,W_Single,,USD,,
Annuity Death Benefits,2026,W_Joint,,USD,,
Annuity Death Benefits,2026,H_Single,,USD,,
Annuity Death Benefits,2026,H_Joint,,USD,,
Annuity Death Benefits,2027,W_Single,,USD,,
Annuity Death Benefits,2027,W_Joint,,USD,,
Annuity Death Benefits,2027,H_Single,,USD,,
Annuity Death Benefits,2027,H_Joint,,USD,,
Annuity Death Benefits,2028,W_Single,,USD,,
Annuity Death Benefits,2028,W_Joint,,USD,,
Annuity Death Benefits,2028,H_Single,,USD,,
Annuity Death Benefits,2028,H_Joint,,USD,,
Annuity Death Benefits,2029,W_Single,,USD,,
Annuity Death Benefits,2029,W_Joint,,USD,,
Annuity Death Benefits,2029,H_Single,,USD,,
Annuity Death Benefits,2029,H_Joint,,USD,,
Annuity Death Benefits,2030,W_Single,,USD,,
Annuity Death Benefits,2030,W_Joint,,USD,,
Annuity Death Benefits,2030,H_Single,,USD,,
Annuity Death Benefits,2030,H_Joint,,USD,,
Annuity Death Benefits,2031,W_Single,,USD,,
Annuity Death Benefits,2031,W_Joint,,USD,,
Annuity Death Benefits,2031,H_Single,,USD,,
Annuity Death Benefits,2031,H_Joint,,USD,,
Annuity Death Benefits,2032,W_Single,,USD,,
Annuity Death Benefits,2032,W_Joint,,USD,,
Annuity Death Benefits,2032,H_Single,,USD,,
Annuity Death Benefits,2032,H_Joint,,USD,,
Annuity Death Benefits,2033,W_Single,,USD,,
Annuity Death Benefits,2033,W_Joint,,USD,,
Annuity Death Benefits,2033,H_Single,,USD,,
Annuity Death Benefits,2033,H_Joint,,USD,,
Annuity Death Benefits,2034,W_Single,,USD,,
Annuity Death Benefits,2034,W_Joint,,USD,,
Annuity Death Benefits,2034,H_Single,,USD,,
Annuity Death Benefits,2034,H_Joint,,USD,,
Annuity Death Benefits,2035,W_Single,,USD,,
Annuity Death Benefits,2035,W_Joint,,USD,,
Annuity Death Benefits,2035,H_Single,,USD,,
Annuity Death Benefits,2035,H_Joint,,USD,,
Annuity Death Benefits,2036,W_Single,,USD,,
Annuity Death Benefits,2036,W_Joint,,USD,,
Annuity Death Benefits,2036,H_Single,,USD,,
Annuity Death Benefits,2036,H_Joint,,USD,,
Annuity Death Benefits,2037,W_Single,,USD,,
Annuity Death Benefits,2037,W_Joint,,USD,,
Annuity Death Benefits,2037,H_Single,,USD,,
Annuity Death Benefits,2037,H_Joint,,USD,,
Annuity Death Benefits,2038,W_Single,,USD,,
Annuity Death Benefits,2038,W_Joint,,USD,,
Annuity Death Benefits,2038,H_Single,,USD,,
Annuity Death Benefits,2038,H_Joint,,USD,,
Annuity Death Benefits,2039,W_Single,,USD,,
Annuity Death Benefits,2039,W_Joint,,USD,,
Annuity Death Benefits,2039,H_Single,,USD,,
Annuity Death Benefits,2039,H_Joint,,USD,,
Annuity Death Benefits,2040,W_Single,,USD,,
Annuity Death Benefits,2040,W_Joint,,USD,,
Annuity Death Benefits,2040,H_Single,,USD,,
Annuity Death Benefits,2040,H_Joint,,USD,,
Annuity Death Benefits,2041,W_Single,,USD,,
Annuity Death Benefits,2041,W_Joint,,USD,,
Annuity Death Benefits,2041,H_Single,,USD,,
Annuity Death Benefits,2041,H_Joint,,USD,,
Annuity Death Benefits,2042,W_Single,,USD,,
Annuity Death Benefits,2042,W_Joint,,USD,,
Annuity Death Benefits,2042,H_Single,,USD,,
Annuity Death Benefits,2042,H_Joint,,USD,,
Annuity Death Benefits,2043,W_Single,,USD,,
Annuity Death Benefits,2043,W_Joint,,USD,,
Annuity Death Benefits,2043,H_Single,,USD,,
Annuity Death Benefits,2043,H_Joint,,USD,,
Annuity Death Benefits,2044,W_Single,,USD,,
Annuity Death Benefits,2044,W_Joint,,USD,,
Annuity Death Benefits,2044,H_Single,,USD,,
Annuity Death Benefits,2044,H_Joint,,USD,,
Annuity Death Benefits,2045,W_Single,,USD,,
Annuity Death Benefits,2045,W_Joint,,USD,,
Annuity Death Benefits,2045,H_Single,,USD,,
Annuity Death Benefits,2045,H_Joint,,USD,,
Estate Planning,Federal,exemption_mfj,,USD,OBBBA permanent from 2026 indexed,
Estate Planning,Illinois,state_estate_exemption,,USD,Illinois estate-tax exemption - no portability; cliff structure,
Estate Planning,Illinois,state_estate_rate_note,,,Illinois graduated estate-tax rate schedule above the exemption,
Estate Planning,Gifting,annual_exclusion_per_donee,,USD,base-year federal annual gift-tax exclusion per recipient,
Estate Planning,Trust Structure,trust_type,,,,
Estate Planning,Step-Up,basis_step_up_at_death,,boolean,Modeled: taxable-account basis is stepped up at death and drawn before gain-bearing lots.,
Estate Planning,SN_Beneficiary,name,,,Optional special-needs beneficiary field; blank unless applicable.,
Estate Planning,SN_Beneficiary,dob,,date,,
Estate Planning,SN_Beneficiary,lifetime_to_age,,years,,
Estate Planning,SN_Beneficiary,annual_support_today,,USD/yr,,
Estate Planning,SN_Beneficiary,inflation_rate,,pct,,
Estate Planning,SN_Trust,balance_today,,USD,Special Needs Trust,
