kind,key,label,annual_budget,start_year,end_year,one_time_year,notes
category,auto_fuel,Auto Fuel,1120,,,,Demo seed value
category,auto_insurance,Auto Insurance,3100,,,,Demo seed value
category,auto_maintenance,Auto Maintenance,960,,,,Demo seed value
category,business_auto_expenses,Business Auto Expenses,80,,,,Demo seed value
category,business_events,Business Events,800,,,,Demo seed value
category,business_hardware_and_software,Business Hardware and Software,200,,,,Demo seed value
category,business_memberships,Business Memberships,3000,,,,Demo seed value
category,business_services,Business Services,15000,,,,Demo seed value
category,business_taxi_uber,Business Taxi - Uber,17,,,,Demo seed value
category,business_travel_meals,Business Travel & Meals,1800,,,,Demo seed value
category,car_wash,Car Wash,260,,,,Demo seed value
category,cash_atm,Cash & ATM,2600,,,,Demo seed value
category,check,Check,2600,,,,Demo seed value
category,church,Church,1000,,,,Demo seed value
category,clothing_jewelry,Clothing & Jewelry,6900,,,,Demo seed value
category,coffee_shops,Coffee Shops,270,,,,Demo seed value
category,sporting_event_tickets,Sporting Event Tickets,12000,,,,Demo seed value
category,dermatologist,Dermatologist,2300,,,,Demo seed value
category,donation,Donation,280,,,,Demo seed value
category,drugs_rx_and_otc,Drugs - Rx and OTC,3100,,,,Demo seed value
category,electronics,Electronics,390,,,,Demo seed value
category,entertainment_recreation,Entertainment & Recreation,5100,,,,Demo seed value
category,exercise_health_equipment,Exercise & Health Equipment,370,,,,Demo seed value
category,fast_food,Fast Food / Takeout,1800,,,,Demo seed value
category,financial_fees,Financial Fees,260,,,,Demo seed value
category,financial_legal_services,Financial & Legal Services,250,,,,Demo seed value
category,furniture_home_decor_kitchenware,Furniture/Home Decor/Kitchenware,2100,,,,Demo seed value
category,garbage,Garbage,710,,,,Demo seed value
category,gas_electric,Gas & Electric,3400,,,,Demo seed value
category,gifts_family,Gifts - Family,81000,,,,Demo seed value
category,gifts_other,Gifts - Other,760,,,,Demo seed value
category,groceries,Groceries,10000,,,,Demo seed value
category,hair_make_up,Hair/Make-up,2200,,,,Demo seed value
category,health_club,Health Club,2600,,,,Demo seed value
category,wellness_premium,Healthcare Premium,,,,,Legacy transaction alias; budget controlled by Pre-65 Healthcare Premium and Medicare premium rows.
category,home_improvement,Home Improvement,11000,,,,Demo seed value
category,home_maintenance,Home Maintenance,2000,,,,Demo seed value
category,house_cleaning,House Cleaning,3400,,,,Demo seed value
category,internet_cable,Internet & Cable,2700,,,,Demo seed value
category,lawn_service_garden_flowers,Lawn Service/Garden/Flowers,2100,,,,Demo seed value
category,mani_pedi,Mani-Pedi,1560,,,,Demo seed value
category,medical,Medical,9000,,,,Demo seed value
category,miscellaneous,Miscellaneous,3,,,,Demo seed value
category,mortgage,Mortgage,35000,,,,Demo seed value
category,movie_theater,Movie Theater,210,,,,Demo seed value
category,office_supplies_expenses,Office Supplies & Expenses,220,,,,Demo seed value
category,parking_tolls,Parking / Tolls,500,,,,Demo seed value
category,personal,Personal,770,,,,Demo seed value
category,pest_control,Pest Control,700,,,,Demo seed value
category,phone,Phone,1210,,,,Demo seed value
category,restaurants,Restaurants,,,,,
category,restaurants_bars,Restaurants & Bars,15000,,,,Demo seed value
category,sewer,Sewer,116,,,,Demo seed value
category,shopping,Shopping,600,,,,Demo seed value
category,streaming_subscriptions,Streaming / Subscriptions,,,,,
category,taxi_ride_shares,Taxi & Ride Shares,1260,,,,Demo seed value
category,travel_housing,Travel - Housing,3200,,,,Demo seed value
category,travel_insurance,Travel - Insurance,100,,,,Demo seed value
category,travel_plane_train_bus,Travel - Plane/Train/Bus,2400,,,,Demo seed value
category,travel_vacation,Travel & Vacation,11400,,,,Demo seed value
category,uncategorized,Uncategorized,3200,,,,Demo seed value
category,vitamins_supplements,Vitamins & Supplements,2500,,,,Demo seed value
category,water,Water,320,,,,Demo seed value
line,weddings,Child Wedding 1,110000,,,2027,Demo seed value
line,weddings,Child Wedding 2,56000,,,2028,Demo seed value
line,weddings,Child Wedding 3,110000,,,2030,Demo seed value
line,home_improvement,Home Improvement,18000,2026,2030,,Demo seed value
line,recurring_travel,Recurring Travel Projection,16000,2026,2045,,Demo seed value
line,charitable_donations,Charitable Giving,5500,,,,Demo seed value
category,real_estate_taxes,Real Estate Taxes,21000,,,,Demo seed value
category,ho_insurance,Homeowners Insurance,2100,,,,Demo seed value
category,housing_utilities,Utilities,2200,,,,Demo seed value
category,pre65_wellness_premium,Pre-65 Healthcare Premium,17000,,,,Demo seed value
category,medicare_part_b,Medicare Part B Premium,5600,,,,Demo seed value
category,medicare_part_d,Medicare Part D Premium,2100,,,,Demo seed value
category,medigap_premium,Medicare Part G / Medigap Premium,5100,,,,Demo seed value
category,annual_oop_max,Annual Household Medical OOP Cap,,,,,Cap/reference only; not a spending budget row
category,dentist,Dental,4500,,,,Demo seed value
category,vision,Vision,1700,,,,Demo seed value
