section,subsection,label,value,units,notes,
"# -- client_insurance_estate.csv: Insurance, estate, annuity death benefits, education funding, and equity compensation.",,,,,,
Annuity Death Benefits,2026,W_Single,"$50,000",USD,,
Annuity Death Benefits,2026,W_Joint,"$300,000",USD,,
Annuity Death Benefits,2026,H_Single,"$85,000",USD,,
Annuity Death Benefits,2026,H_Joint,"$600,000",USD,,
Annuity Death Benefits,2027,W_Single,"$52,500",USD,,
Annuity Death Benefits,2027,W_Joint,"$315,000",USD,,
Annuity Death Benefits,2027,H_Single,"$89,200",USD,,
Annuity Death Benefits,2027,H_Joint,"$630,000",USD,,
Annuity Death Benefits,2028,W_Single,"$55,100",USD,,
Annuity Death Benefits,2028,W_Joint,"$330,800",USD,,
Annuity Death Benefits,2028,H_Single,"$93,700",USD,,
Annuity Death Benefits,2028,H_Joint,"$661,500",USD,,
Annuity Death Benefits,2029,W_Single,"$57,900",USD,,
Annuity Death Benefits,2029,W_Joint,"$347,300",USD,,
Annuity Death Benefits,2029,H_Single,"$98,400",USD,,
Annuity Death Benefits,2029,H_Joint,"$694,600",USD,,
Annuity Death Benefits,2030,W_Single,"$60,800",USD,,
Annuity Death Benefits,2030,W_Joint,"$325,600",USD,,
Annuity Death Benefits,2030,H_Single,"$103,300",USD,,
Annuity Death Benefits,2030,H_Joint,"$729,300",USD,,
Annuity Death Benefits,2031,W_Single,"$63,800",USD,,
Annuity Death Benefits,2031,W_Joint,"$303,900",USD,,
Annuity Death Benefits,2031,H_Single,"$96,400",USD,,
Annuity Death Benefits,2031,H_Joint,"$680,700",USD,,
Annuity Death Benefits,2032,W_Single,"$59,300",USD,,
Annuity Death Benefits,2032,W_Joint,"$282,200",USD,,
Annuity Death Benefits,2032,H_Single,"$89,500",USD,,
Annuity Death Benefits,2032,H_Joint,"$632,100",USD,,
Annuity Death Benefits,2033,W_Single,"$54,700",USD,,
Annuity Death Benefits,2033,W_Joint,"$260,500",USD,,
Annuity Death Benefits,2033,H_Single,"$82,700",USD,,
Annuity Death Benefits,2033,H_Joint,"$583,400",USD,,
Annuity Death Benefits,2034,W_Single,"$50,100",USD,,
Annuity Death Benefits,2034,W_Joint,"$238,800",USD,,
Annuity Death Benefits,2034,H_Single,"$75,800",USD,,
Annuity Death Benefits,2034,H_Joint,"$534,800",USD,,
Annuity Death Benefits,2035,W_Single,"$45,600",USD,,
Annuity Death Benefits,2035,W_Joint,"$217,100",USD,,
Annuity Death Benefits,2035,H_Single,"$68,900",USD,,
Annuity Death Benefits,2035,H_Joint,"$486,200",USD,,
Annuity Death Benefits,2036,W_Single,"$41,000",USD,,
Annuity Death Benefits,2036,W_Joint,"$195,300",USD,,
Annuity Death Benefits,2036,H_Single,"$62,000",USD,,
Annuity Death Benefits,2036,H_Joint,"$437,600",USD,,
Annuity Death Benefits,2037,W_Single,"$36,500",USD,,
Annuity Death Benefits,2037,W_Joint,"$173,600",USD,,
Annuity Death Benefits,2037,H_Single,"$55,100",USD,,
Annuity Death Benefits,2037,H_Joint,"$389,000",USD,,
Annuity Death Benefits,2038,W_Single,"$31,900",USD,,
Annuity Death Benefits,2038,W_Joint,"$151,900",USD,,
Annuity Death Benefits,2038,H_Single,"$48,200",USD,,
Annuity Death Benefits,2038,H_Joint,"$340,300",USD,,
Annuity Death Benefits,2039,W_Single,"$27,300",USD,,
Annuity Death Benefits,2039,W_Joint,"$130,200",USD,,
Annuity Death Benefits,2039,H_Single,"$41,300",USD,,
Annuity Death Benefits,2039,H_Joint,"$291,700",USD,,
Annuity Death Benefits,2040,W_Single,"$22,800",USD,,
Annuity Death Benefits,2040,W_Joint,"$108,500",USD,,
Annuity Death Benefits,2040,H_Single,"$34,400",USD,,
Annuity Death Benefits,2040,H_Joint,"$243,100",USD,,
Annuity Death Benefits,2041,W_Single,"$18,200",USD,,
Annuity Death Benefits,2041,W_Joint,"$86,800",USD,,
Annuity Death Benefits,2041,H_Single,"$27,600",USD,,
Annuity Death Benefits,2041,H_Joint,"$194,500",USD,,
Annuity Death Benefits,2042,W_Single,"$13,700",USD,,
Annuity Death Benefits,2042,W_Joint,"$65,100",USD,,
Annuity Death Benefits,2042,H_Single,"$20,700",USD,,
Annuity Death Benefits,2042,H_Joint,"$145,900",USD,,
Annuity Death Benefits,2043,W_Single,"$9,100",USD,,
Annuity Death Benefits,2043,W_Joint,"$43,400",USD,,
Annuity Death Benefits,2043,H_Single,"$13,800",USD,,
Annuity Death Benefits,2043,H_Joint,"$97,200",USD,,
Annuity Death Benefits,2044,W_Single,"$4,600",USD,,
Annuity Death Benefits,2044,W_Joint,"$21,700",USD,,
Annuity Death Benefits,2044,H_Single,"$6,900",USD,,
Annuity Death Benefits,2044,H_Joint,"$48,600",USD,,
Annuity Death Benefits,2045,W_Single,$0,USD,,
Annuity Death Benefits,2045,W_Joint,$0,USD,,
Annuity Death Benefits,2045,H_Single,$0,USD,,
Annuity Death Benefits,2045,H_Joint,$0,USD,,
Estate Planning,Federal,exemption_mfj,"$30,000,000",USD,OBBBA permanent from 2026 indexed,
Estate Planning,Illinois,state_estate_exemption,"$4,000,000",USD,Illinois estate-tax exemption - no portability; cliff structure,
Estate Planning,Illinois,state_estate_rate_note,graduated 0.8%-16%,,Illinois graduated estate-tax rate schedule above the exemption,
Estate Planning,Gifting,annual_exclusion_per_donee,"$19,000",USD,base-year federal annual gift-tax exclusion per recipient,
Estate Planning,Legacy,legacy_floor,$0,USD,Desired minimum after-tax terminal bequest; 0 means no legacy target is configured,
Estate Planning,Trust Structure,trust_type,revocable living trust,,,
Estate Planning,Step-Up,basis_step_up_at_death,TRUE,boolean,Modeled: taxable-account basis is stepped up at death and drawn before gain-bearing lots.,
Estate Planning,SN_Beneficiary,name,,,Optional special-needs beneficiary field; blank unless applicable.,
Estate Planning,SN_Beneficiary,dob,5/1/2000,date,,
Estate Planning,SN_Beneficiary,lifetime_to_age,75,years,,
Estate Planning,SN_Beneficiary,annual_support_today,"$30,000",USD/yr,,
Estate Planning,SN_Beneficiary,inflation_rate,2.50%,pct,,
Estate Planning,SN_Trust,balance_today,"$100,000",USD,Special Needs Trust,
Estate Planning,SN_Trust,funding_schedule,"$10,000",USD/yr,annual contribution,
Estate Planning,SN_Trust,growth_rate,5.00%,pct,,
Estate Planning,SN_Trust,is_third_party,TRUE,boolean,no Medicaid payback,
Estate Planning,SN_ABLE,balance_today,"$15,000",USD,,
Estate Planning,SN_ABLE,monthly_contribution,500,USD/mo,,
Estate Planning,SN_ABLE,annual_contribution_limit,"$19,000",USD/yr,base-year federal limit,
Estate Planning,SN_GovBenefits,ssi_monthly,943,USD/mo,,
Estate Planning,SN_GovBenefits,ssdi_monthly,0,USD/mo,,
Estate Planning,SN_GovBenefits,medicaid_enrolled,TRUE,boolean,,
Estate Planning,QTIP Trust,enabled,YES,,,
Estate Planning,QTIP Trust,funding_amount,0,,,
Estate Planning,QTIP Trust,manages_annuity_after_first_death,TRUE,,,
Estate Planning,QTIP Trust,note,Provides income to surviving spouse,,,
Estate Planning,Credit Shelter Trust,enabled,TRUE,,,
Estate Planning,Credit Shelter Trust,amount,"$4,000,000",,,
Estate Planning,Credit Shelter Trust,note,Funds up to IL exemption bypasses survivor estate for IL tax,,,
Insurance In Force,Life,policy_count,0,count,traditional life insurance policies in force (annuity death benefits tracked separately),
Insurance In Force,Long-Term Care,policy_count,0,count,standalone LTC policies in force,
Insurance In Force,Disability,policy_count,0,count,disability income policies (typically N/A once retired),
Insurance In Force,Umbrella Liability,policy_count,0,count,umbrella liability policy - recommend review for a HNW household,
Insurance In Force,Property and Casualty,policy_count,0,count,homeowner + auto policies,
Insurance In Force,Life_Term_Alexander,owner,Member 1,,sample/demo reporting module; not cash-flow-driving unless specifically enabled,
Insurance In Force,Life_Term_Alexander,insured,Member 1,,,
Insurance In Force,Life_Term_Alexander,beneficiary,Member 2,,,
Insurance In Force,Life_Term_Alexander,policy_type,term,,,
Insurance In Force,Life_Term_Alexander,face_amount,"$500,000",USD,,
Insurance In Force,Life_Term_Alexander,cash_value_today,$0,USD,,
Insurance In Force,Life_Term_Alexander,annual_premium,"$1,800",USD,,
Insurance In Force,Life_Term_Alexander,term_end_year,2035,year,,
Insurance In Force,Life_Term_Alexander,premium_end_year,2035,year,,
Insurance In Force,Life_Term_Alexander,cash_value_growth_rate,0%,pct,,
Insurance In Force,Life_Term_Alexander,owned_by_ilit,FALSE,boolean,,
Insurance In Force,Life_Whole_Morgan,owner,Member 2,,sample/demo reporting module; not cash-flow-driving unless specifically enabled,
Insurance In Force,Life_Whole_Morgan,insured,Member 2,,,
Insurance In Force,Life_Whole_Morgan,beneficiary,Member 1,,,
Insurance In Force,Life_Whole_Morgan,policy_type,whole,,,
Insurance In Force,Life_Whole_Morgan,face_amount,"$250,000",USD,,
Insurance In Force,Life_Whole_Morgan,cash_value_today,"$45,000",USD,,
Insurance In Force,Life_Whole_Morgan,annual_premium,"$3,500",USD,,
Insurance In Force,Life_Whole_Morgan,term_end_year,0,year,n/a for whole,
Insurance In Force,Life_Whole_Morgan,premium_end_year,2040,year,,
Insurance In Force,Life_Whole_Morgan,cash_value_growth_rate,4.00%,pct,,
Insurance In Force,Life_Whole_Morgan,owned_by_ilit,FALSE,boolean,,
Insurance In Force,DI_Group_Alexander,type,group,,sample/demo reporting module; not cash-flow-driving unless specifically enabled,
Insurance In Force,DI_Group_Alexander,insured,Member 1,,,
Insurance In Force,DI_Group_Alexander,monthly_benefit,"$15,000",USD/mo,,
Insurance In Force,DI_Group_Alexander,elimination_days,90,days,,
Insurance In Force,DI_Group_Alexander,benefit_period_years,5,years,to age 65,
Insurance In Force,DI_Group_Alexander,premium_annual,"$1,200",USD,,
Insurance In Force,DI_Group_Alexander,premium_pre_tax,TRUE,boolean,benefit taxable,
Insurance In Force,DI_Scenario,simulate_disability_year,0,year,0 = no simulated event,
Insurance In Force,PC_Homeowner,policy_type,HO,,sample/demo reporting module; not cash-flow-driving unless specifically enabled,
Insurance In Force,PC_Homeowner,coverage_limit,"$1,100,000",USD,,
Insurance In Force,PC_Homeowner,deductible,"$5,000",USD,,
Insurance In Force,PC_Homeowner,annual_premium,"$1,900",USD,,
Insurance In Force,PC_Auto,policy_type,auto,,sample/demo reporting module; not cash-flow-driving unless specifically enabled,
Insurance In Force,PC_Auto,coverage_limit,"$500,000",USD,,
Insurance In Force,PC_Auto,deductible,"$1,000",USD,,
Insurance In Force,PC_Auto,annual_premium,"$1,750",USD,,
Insurance In Force,PC_Umbrella,policy_type,umbrella,,sample/demo reporting module; not cash-flow-driving unless specifically enabled,
Insurance In Force,PC_Umbrella,coverage_limit,"$5,000,000",USD,,
Insurance In Force,PC_Umbrella,deductible,0,USD,,
Insurance In Force,PC_Umbrella,annual_premium,800,USD,,
Insurance In Force,PC_Targets,umbrella_target_multiple_of_nw,1.5,multiplier,recommended for HNW,
Education Funding,529 Accounts,account_count,0,count,number of 529 plans,
Education Funding,Grandchild_A_529,owner,Member 1,,529 account for grandchild,
Education Funding,Grandchild_A_529,beneficiary,Grandchild A,,,
Education Funding,Grandchild_A_529,balance_today,"$50,000",USD,sample/demo reporting module; not cash-flow-driving unless specifically enabled,
Education Funding,Grandchild_A_529,monthly_contribution,$500,USD,,
Education Funding,Grandchild_A_529,contribution_end_year,2035,year,,
Education Funding,Grandchild_A_529,growth_rate,6.00%,pct,,
Education Funding,Grandchild_A_529,state_deduction_eligible,FALSE,boolean,IL has no 529 deduction,
Education Funding,Grandchild_A_Goal,beneficiary,Grandchild A,,,
Education Funding,Grandchild_A_Goal,start_year,2036,year,,
Education Funding,Grandchild_A_Goal,end_year,2039,year,,
Education Funding,Grandchild_A_Goal,annual_cost_today,"$40,000",USD,full freight private,
Education Funding,Grandchild_A_Goal,cost_inflation_rate,5.00%,pct,,
Education Funding,Policy,allow_secure_2_roth_rollover,TRUE,boolean,,
Education Funding,Policy,state_deduction_limit_annual,$0,USD,IL no deduction,
Equity Compensation,RSU_2024,recipient,Member 1,,sample/demo reporting module; not cash-flow-driving unless specifically enabled,
Equity Compensation,RSU_2024,grant_type,RSU,,,
Equity Compensation,RSU_2024,shares_outstanding,2000,shares,,
Equity Compensation,RSU_2024,fmv_per_share_today,$150,USD/share,,
Equity Compensation,RSU_2024,exercise_price,$0,USD/share,n/a for RSU,
Equity Compensation,RSU_2024,grant_date,3/1/2024,date,,
Equity Compensation,RSU_2024,vest_schedule,25%/yr starting 2025,,,
Equity Compensation,RSU_2024,planned_exercise_year,0,year,n/a for RSU,
