kind,key,label,annual_budget,start_year,end_year,one_time_year,notes,_mode,line_section,line_mode
category,annual_oop_max,Annual Household Medical OOP Cap,,,,,Cap/reference only; not a spending budget row,,,
category,auto_fuel,Auto Fuel,700,,,,Annualized actual,,,
category,auto_insurance,Auto Insurance,2600,,,,Annualized actual,,,
category,auto_maintenance,Auto Maintenance,1010,,,,Annualized actual,,,
category,business_auto_expenses,Business Auto Expenses,290,,,,Annualized actual,,,
category,business_events,Business Events,230,,,,Annualized actual,,,
category,business_hardware_and_software,Business Hardware and Software,690,,,,Annualized actual,,,
category,business_memberships,Business Memberships,1800,,,,Annualized actual,,,
category,business_services,Business Services,280,,,,Annualized actual,,,
category,business_taxi_uber,Business Taxi - Uber,140,,,,Annualized actual,,,
category,business_travel_meals,Business Travel & Meals,2600,,,,Annualized actual,,,
category,car_wash,Car Wash,360,,,,Annualized actual,,,
category,cash_atm,Cash & ATM,2000,,,,Annualized actual,,,
category,check,Check,,,,,Annualized actual,,,
category,church,Church,1200,,,,Annualized actual,,,
category,clothing_jewelry,Clothing & Jewelry,9000,,,,Annualized actual,,,
category,coffee_shops,Coffee Shops,410,,,,Annualized actual,,,
category,sporting_event_tickets,Sporting Event Tickets,5300,,,,Annualized actual,,,
category,dentist,Dentist,2000,,,,Source: Wellness Budget Detail / transaction/detail input,,,
category,dermatologist,Dermatologist,900,,,,Annualized actual,,,
category,drugs_rx_and_otc,Drugs - Rx and OTC,1800,,,,Source: Wellness Budget Detail / transaction/detail input,,,
category,electronics,Electronics,1300,,,,Annualized actual,,,
category,entertainment_recreation,Entertainment & Recreation,4400,,,,Annualized actual,,,
category,exercise_health_equipment,Exercise & Health Equipment,180,,,,Annualized actual,,,
category,fast_food,Fast Food / Takeout,1300,,,,Annualized actual,,,
category,financial_fees,Financial Fees,260,,,,Annualized actual,,,
category,financial_legal_services,Financial & Legal Services,280,,,,Annualized actual,,,
category,furniture_home_decor_kitchenware,Furniture/Home Decor/Kitchenware,1500,,,,Annualized actual,,,
category,garbage,Garbage,480,,,,Annualized actual,,,
category,gas_electric,Gas & Electric,3600,,,,Annualized actual,,,
category,gifts_family,Gifts - Family,3100,,,,Annualized actual,,,
category,gifts_other,Gifts - Other,1605,,,,Annualized actual,,,
category,groceries,Groceries,20000,,,,,,,
category,hair_make_up,Hair/Make-up,3200,,,,Annualized actual,,,
category,health_club,Health Club,4300,,,,Annualized actual,,,
category,ho_insurance,Homeowners Insurance,1900,,,,Source: Housing Budget Detail / current plan input,,,
category,home_improvement,Home Improvement,20000,,,,Annualized actual,,,
category,home_maintenance,Home Maintenance,4800,,,,Source: Housing Budget Detail / current plan input,,,
category,house_cleaning,House Cleaning,3000,,,,Annualized actual,,,
category,housing_utilities,Utilities,,,,,Source: Housing Budget Detail / current plan input,,,
category,internet_cable,Internet & Cable,2400,,,,Annualized actual,,,
category,lawn_service_garden_flowers,Lawn Service/Garden/Flowers,2600,,,,Annualized actual,,,
category,mani_pedi,Mani-Pedi,1500,,,,Annualized actual,,,
category,medical,Medical,4000,,,,Source: Wellness Budget Detail / transaction/detail input,,,
category,medicare_part_b,Medicare Part B Premium,5356,,,,Source: Wellness Budget Detail / Medicare monthly input annualized,,,
category,medicare_part_d,Medicare Part D Premium,2095,,,,Source: Wellness Budget Detail / Medicare monthly input annualized,,,
category,medigap_premium,Medicare Part G / Medigap Premium,4309,,,,Source: Wellness Budget Detail / Medicare monthly input annualized,,,
category,miscellaneous,Miscellaneous,,,,,Annualized actual,,,
category,mortgage,Mortgage,33000,,,,Annualized actual,,,
category,movie_theater,Movie Theater,200,,,,Annualized actual,,,
category,office_supplies_expenses,Office Supplies & Expenses,2200,,,,Annualized actual,,,
category,parking_tolls,Parking / Tolls,360,,,,Annualized actual,,,
category,personal,Personal,660,,,,Annualized actual,,,
category,pest_control,Pest Control,1000,,,,Annualized actual,,,
category,phone,Phone,1800,,,,Annualized actual,,,
category,pre65_wellness_premium,Pre-65 Healthcare Premium,14400,,,,Source: Wellness Budget Detail / pre-65 healthcare premium input,,,
category,public_transit,Public Transit,10,,,,,,,
category,real_estate_taxes,Real Estate Taxes,14500,,,,Source: Housing Budget Detail / current plan input,,,
category,restaurants_bars,Restaurants & Bars,11000,,,,Annualized actual,,,
category,sewer,Sewer,300,,,,Annualized actual,,,
category,shopping,Shopping,120,,,,Annualized actual,,,
