kind,key,label,annual_budget,start_year,end_year,one_time_year,notes
category,auto_fuel,Auto Fuel,1610,,,,Demo seed value
category,auto_insurance,Auto Insurance,4460,,,,Demo seed value
category,auto_maintenance,Auto Maintenance,1380,,,,Demo seed value
category,business_auto_expenses,Business Auto Expenses,120,,,,Demo seed value
category,business_events,Business Events,1150,,,,Demo seed value
category,business_hardware_and_software,Business Hardware and Software,290,,,,Demo seed value
category,business_memberships,Business Memberships,4320,,,,Demo seed value
category,business_services,Business Services,21590,,,,Demo seed value
category,business_taxi_uber,Business Taxi - Uber,30,,,,Demo seed value
category,business_travel_meals,Business Travel & Meals,2590,,,,Demo seed value
category,car_wash,Car Wash,370,,,,Demo seed value
category,cash_atm,Cash & ATM,3740,,,,Demo seed value
category,check,Check,3740,,,,Demo seed value
category,church,Church,1440,,,,Demo seed value
category,clothing_jewelry,Clothing & Jewelry,9930,,,,Demo seed value
category,coffee_shops,Coffee Shops,390,,,,Demo seed value
category,sporting_event_tickets,Sporting Event Tickets,17270,,,,Demo seed value
category,dermatologist,Dermatologist,3310,,,,Demo seed value
category,donation,Donation,400,,,,Demo seed value
category,drugs_rx_and_otc,Drugs - Rx and OTC,4460,,,,Demo seed value
category,electronics,Electronics,560,,,,Demo seed value
category,entertainment_recreation,Entertainment & Recreation,7340,,,,Demo seed value
category,exercise_health_equipment,Exercise & Health Equipment,540,,,,Demo seed value
category,fast_food,Fast Food / Takeout,2590,,,,Demo seed value
category,financial_fees,Financial Fees,370,,,,Demo seed value
category,financial_legal_services,Financial & Legal Services,360,,,,Demo seed value
category,furniture_home_decor_kitchenware,Furniture/Home Decor/Kitchenware,3020,,,,Demo seed value
category,garbage,Garbage,1020,,,,Demo seed value
category,gas_electric,Gas & Electric,4890,,,,Demo seed value
category,gifts_family,Gifts - Family,116570,,,,Demo seed value
category,gifts_other,Gifts - Other,1090,,,,Demo seed value
category,groceries,Groceries,14390,,,,Demo seed value
category,hair_make_up,Hair/Make-up,3170,,,,Demo seed value
category,health_club,Health Club,3740,,,,Demo seed value
category,wellness_premium,Healthcare Premium,,,,,Legacy transaction alias; budget controlled by Pre-65 Healthcare Premium and Medicare premium rows.
category,home_improvement,Home Improvement,15830,,,,Demo seed value
category,home_maintenance,Home Maintenance,2880,,,,Demo seed value
category,house_cleaning,House Cleaning,4890,,,,Demo seed value
category,internet_cable,Internet & Cable,3880,,,,Demo seed value
category,lawn_service_garden_flowers,Lawn Service/Garden/Flowers,3020,,,,Demo seed value
category,mani_pedi,Mani-Pedi,2250,,,,Demo seed value
category,medical,Medical,12950,,,,Demo seed value
category,miscellaneous,Miscellaneous,0,,,,Demo seed value
category,mortgage,Mortgage,50370,,,,Demo seed value
category,movie_theater,Movie Theater,300,,,,Demo seed value
category,office_supplies_expenses,Office Supplies & Expenses,320,,,,Demo seed value
category,parking_tolls,Parking / Tolls,730,,,,Demo seed value
category,personal,Personal,1110,,,,Demo seed value
category,pest_control,Pest Control,1010,,,,Demo seed value
category,phone,Phone,1740,,,,Demo seed value
category,restaurants,Restaurants,,,,,
category,restaurants_bars,Restaurants & Bars,21590,,,,Demo seed value
category,sewer,Sewer,160,,,,Demo seed value
category,shopping,Shopping,870,,,,Demo seed value
category,streaming_subscriptions,Streaming / Subscriptions,,,,,
category,taxi_ride_shares,Taxi & Ride Shares,1810,,,,Demo seed value
category,travel_housing,Travel - Housing,4610,,,,Demo seed value
category,travel_insurance,Travel - Insurance,140,,,,Demo seed value
category,travel_plane_train_bus,Travel - Plane/Train/Bus,3450,,,,Demo seed value
category,travel_vacation,Travel & Vacation,16400,,,,Demo seed value
category,uncategorized,Uncategorized,4610,,,,Demo seed value
category,vitamins_supplements,Vitamins & Supplements,3600,,,,Demo seed value
category,water,Water,460,,,,Demo seed value
line,weddings,Child Wedding 1,128700,,,2027,Demo seed value
line,weddings,Child Wedding 2,65520,,,2028,Demo seed value
line,weddings,Child Wedding 3,128700,,,2030,Demo seed value
line,home_improvement,Home Improvement,21060,2026,2030,,Demo seed value
line,recurring_travel,Recurring Travel Projection,18720,2026,2045,,Demo seed value
line,charitable_donations,Charitable Giving,6440,,,,Demo seed value
category,real_estate_taxes,Real Estate Taxes,30220,,,,Demo seed value
category,ho_insurance,Homeowners Insurance,3020,,,,Demo seed value
category,housing_utilities,Utilities,3170,,,,Demo seed value
category,pre65_wellness_premium,Pre-65 Healthcare Premium,24460,,,,Demo seed value
category,medicare_part_b,Medicare Part B Premium,8060,,,,Demo seed value
category,medicare_part_d,Medicare Part D Premium,3020,,,,Demo seed value
category,medigap_premium,Medicare Part G / Medigap Premium,7340,,,,Demo seed value
category,annual_oop_max,Annual Household Medical OOP Cap,,,,,Cap/reference only; not a spending budget row
category,dentist,Dental,6480,,,,Demo seed value
category,vision,Vision,2450,,,,Demo seed value
