age,male_qx,female_qx,source,notes
18,0.000306,0.0003,"SSA Actuarial Study No. 124 (interpolated/extrapolated)","SSA Period Life Table anchors (SSA Actuarial Study No. 124) at ages 50/55/.../95; single-year values log-linearly interpolated between anchors and log-linearly extrapolated outside that range (ages 18-49 and 96-119). Not a verbatim SSA table transcription -- ssa.gov/oact/STATS/table4c6.html and the underlying Actuarial Study PDF return HTTP 403 to automated fetches, so this was built from a secondary aggregation of the same published SSA figures. Recommended: replace with a direct SSA table transcription (manually downloaded) at the next annual tax/reference-data refresh; add to the annual-maintenance runbook alongside the tax-law dataset per the system review's C4 finding."
19,0.000332,0.0003,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
20,0.00036,0.0003,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
21,0.000391,0.0003,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
22,0.000425,0.0003,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
23,0.000462,0.0003,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
24,0.000502,0.0003,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
25,0.000545,0.0003,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
26,0.000592,0.0003,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
27,0.000643,0.0003,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
28,0.000698,0.000315,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
29,0.000758,0.000347,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
30,0.000824,0.000382,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
31,0.000894,0.00042,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
32,0.000972,0.000463,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
33,0.001055,0.000509,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
34,0.001146,0.00056,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
35,0.001245,0.000617,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
36,0.001352,0.000679,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
37,0.001469,0.000747,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
38,0.001595,0.000822,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
39,0.001733,0.000905,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
